amount_paid,case_no,citation,citation_no,citation_status,contract_id,current_penalty,date_issues,date_terminated,final_order_date,proposed_penalty,s_and_s,section_of_act,standard,standard_url,violator
171.00 ,000420126,C,9870748  ,Closed,  ,171.00 ,8/3/2016,8/3/2016,10/29/2016 ,171.00,N,104(a),71.206(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec71-206.pdf,"PB Dirt Movers, Inc"
150.00 ,000409535,C,9093458  ,Closed,  ,150.00 ,3/10/2016,3/15/2016,6/19/2016 ,150.00,Y,104(a),77.404(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec77-404.pdf,"PB Dirt Movers, Inc"
100.00 ,000409535,C,9093457  ,Closed,  ,100.00 ,3/10/2016,3/15/2016,6/19/2016 ,100.00,N,104(a),77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec77-1104.pdf,"PB Dirt Movers, Inc"
150.00 ,000404621,C,9870743  ,Closed,  ,150.00 ,1/19/2016,1/19/2016,4/17/2016 ,150.00,N,104(a),71.206(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec71-206.pdf,"PB Dirt Movers, Inc"
100.00 ,000393515,C,9092704  ,Closed,  ,100.00 ,8/5/2015,8/11/2015,11/7/2015 ,100.00,Y,104(a),77.404(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec77-404.pdf,"PB Dirt Movers, Inc"
100.00 ,000393515,C,9092703  ,Closed,  ,100.00 ,8/5/2015,8/5/2015,11/7/2015 ,100.00,N,104(a),77.410(c),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec77-410.pdf,"PB Dirt Movers, Inc"
100.00 ,000380411,C,9091075  ,Closed,  ,100.00 ,3/4/2015,3/4/2015,6/6/2015 ,100.00,N,104(a),77.1110,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec77-1110.pdf,"PB Dirt Movers, Inc"
100.00 ,000380411,C,9091073  ,Closed,  ,100.00 ,3/4/2015,3/4/2015,6/6/2015 ,100.00,N,104(a),77.1110,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec77-1110.pdf,"PB Dirt Movers, Inc"
100.00 ,000380411,C,9091074  ,Closed,  ,100.00 ,3/4/2015,3/9/2015,6/6/2015 ,100.00,Y,104(a),77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec77-1104.pdf,"PB Dirt Movers, Inc"
100.00 ,000378065,C,9870729  ,Closed,  ,100.00 ,2/25/2015,2/25/2015,5/9/2015 ,100.00,N,104(a),71.206(a),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec71-206.pdf,"PB Dirt Movers, Inc"
100.00 ,000366059,C,8214464  ,Closed,  ,100.00 ,9/17/2014,9/23/2014,12/5/2014 ,100.00,Y,104(a),77.404(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec77-404.pdf,"PB Dirt Movers, Inc"
100.00 ,000366059,C,8214465  ,Closed,  ,100.00 ,9/17/2014,9/23/2014,12/5/2014 ,100.00,N,104(a),77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec77-1104.pdf,"PB Dirt Movers, Inc"
100.00 ,000366059,C,8214461  ,Closed,  ,100.00 ,9/10/2014,9/17/2014,12/5/2014 ,100.00,N,104(a),77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec77-1104.pdf,"PB Dirt Movers, Inc"
