amount_paid,case_no,citation,citation_no,citation_status,contract_id,current_penalty,date_issues,date_terminated,final_order_date,proposed_penalty,s_and_s,section_of_act,standard,standard_url,violator
100.00 ,000382609,C,8818269  ,Closed,  ,100.00 ,4/7/2015,4/7/2015,7/6/2015 ,100.00,Y,104(a),56.14211(b),http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-14211.pdf,"Holley Dirt Company, Inc"
100.00 ,000382609,C,8818270  ,Closed,  ,100.00 ,4/7/2015,4/8/2015,7/6/2015 ,100.00,Y,104(a),56.12040,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12040.pdf,"Holley Dirt Company, Inc"
100.00 ,000375494,C,8818247  ,Closed,  ,100.00 ,1/13/2015,1/15/2015,4/11/2015 ,100.00,N,104(a),56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2015-title30-vol1/pdf/CFR-2015-title30-vol1-sec56-12004.pdf,"Holley Dirt Company, Inc"
100.00 ,000360091,C,8835756  ,Closed,  ,100.00 ,7/15/2014,7/15/2014,10/8/2014 ,100.00,N,104(a),50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec50-30.pdf,"Holley Dirt Company, Inc"
100.00 ,000360091,C,8835757  ,Closed,  ,100.00 ,7/15/2014,7/16/2014,10/8/2014 ,100.00,N,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14100.pdf,"Holley Dirt Company, Inc"
100.00 ,000346593,C,8732850  ,Closed,  ,100.00 ,2/25/2014,2/27/2014,5/7/2014 ,100.00,N,104(a),56.14100(a),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-14100.pdf,"Holley Dirt Company, Inc"
error,000334543,N,8729317  ,error,  ,error,9/10/2013,C,104(a),error,56.18002(b),9/10/2013,url missing,url missing,"Holley Dirt Company, Inc"
error,000334543,Y,8729316  ,error,  ,error,9/10/2013,C,104(a),error,56.9300(a),9/10/2013,url missing,url missing,"Holley Dirt Company, Inc"
100.00 ,000315004,C,8723396  ,Closed,  ,100.00 ,1/8/2013,1/10/2013,4/4/2013 ,100.00,Y,104(a),56.11003,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-11003.pdf,"Holley Dirt Company, Inc"
100.00 ,000315004,C,8723395  ,Closed,  ,100.00 ,1/8/2013,1/10/2013,4/4/2013 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-14107.pdf,"Holley Dirt Company, Inc"
100.00 ,000293592,C,8638086  ,Closed,  ,100.00 ,5/22/2012,6/5/2012,8/11/2012 ,100.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14132.pdf,"Holley Dirt Company, Inc"
100.00 ,000296474,C,8638087  ,Closed,  ,100.00 ,5/22/2012,5/23/2012,9/5/2012 ,100.00,N,104(a),56.9100(a),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-9100.pdf,"Holley Dirt Company, Inc"
807.00 ,000293592,C,8638085  ,Closed,  ,807.00 ,5/21/2012,6/5/2012,8/11/2012 ,807.00,Y,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-14100.pdf,"Holley Dirt Company, Inc"
100.00 ,000273703,C,8637959  ,Closed,  ,100.00 ,10/5/2011,10/7/2011,1/4/2012 ,100.00,N,104(a),46.9(a),http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec46-9.pdf,"Holley Dirt Company, Inc"
100.00 ,000256650,C,8630131  ,Closed,  ,100.00 ,4/13/2011,4/14/2011,7/6/2011 ,100.00,N,104(a),56.12032,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-12032.pdf,"Holley Dirt Company, Inc"
100.00 ,000230512,C,8547870  ,Closed,  ,100.00 ,7/15/2010,8/3/2010,10/9/2010 ,100.00,N,104(a),56.12028,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-12028.pdf,"Holley Dirt Company, Inc"
100.00 ,000230512,C,8547868  ,Closed,  ,100.00 ,7/15/2010,7/15/2010,10/9/2010 ,100.00,N,104(a),46.9(a),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec46-9.pdf,"Holley Dirt Company, Inc"
100.00 ,000230512,C,8547867  ,Closed,  ,100.00 ,7/15/2010,8/3/2010,10/9/2010 ,100.00,N,104(a),56.18010,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-18010.pdf,"Holley Dirt Company, Inc"
243.00 ,000230512,C,8547866  ,Closed,  ,243.00 ,7/14/2010,7/15/2010,10/9/2010 ,243.00,Y,104(a),56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-9300.pdf,"Holley Dirt Company, Inc"
100.00 ,000230512,C,8547865  ,Closed,  ,100.00 ,7/14/2010,7/15/2010,10/9/2010 ,100.00,N,104(a),56.4402,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-4402.pdf,"Holley Dirt Company, Inc"
100.00 ,000230512,C,8547862  ,Closed,  ,100.00 ,7/14/2010,7/15/2010,10/9/2010 ,100.00,N,104(a),56.15020,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-15020.pdf,"Holley Dirt Company, Inc"
100.00 ,000230512,C,8547863  ,Closed,  ,100.00 ,7/14/2010,7/15/2010,10/9/2010 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14107.pdf,"Holley Dirt Company, Inc"
100.00 ,000218132,C,8544317  ,Closed,  ,100.00 ,3/19/2010,3/19/2010,6/4/2010 ,100.00,N,104(a),56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-12004.pdf,"Holley Dirt Company, Inc"
100.00 ,000218132,C,8544318  ,Closed,  ,100.00 ,3/19/2010,3/19/2010,6/4/2010 ,100.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14132.pdf,"Holley Dirt Company, Inc"
100.00 ,000158499,C,7751779  ,Closed,  ,100.00 ,6/19/2008,7/8/2008,9/5/2008 ,100.00,N,104(a),56.14103(a),http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-14103.pdf,"Holley Dirt Company, Inc"
"2,000.00 ",000158499,C,7751780  ,Closed,  ,"2,000.00 ",6/19/2008,6/20/2008,9/5/2008 ,"2,000.00",Y,104(d)(1),56.3131,http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-3131.pdf,"Holley Dirt Company, Inc"
100.00 ,000141737,C,7780184  ,Closed,  ,100.00 ,1/8/2008,1/9/2008,4/2/2008 ,100.00,N,104(a),56.12008,http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-12008.pdf,"Holley Dirt Company, Inc"
100.00 ,000141737,C,7780187  ,Closed,  ,100.00 ,1/8/2008,1/9/2008,4/2/2008 ,100.00,N,104(a),56.12018,http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-12018.pdf,"Holley Dirt Company, Inc"
100.00 ,000141737,C,7780185  ,Closed,  ,100.00 ,1/8/2008,1/9/2008,4/2/2008 ,100.00,N,104(a),56.14112(b),http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-14112.pdf,"Holley Dirt Company, Inc"
100.00 ,000141737,C,7780186  ,Closed,  ,100.00 ,1/8/2008,1/10/2008,4/2/2008 ,100.00,N,104(a),56.14112(b),http://www.gpo.gov/fdsys/pkg/CFR-2008-title30-vol1/pdf/CFR-2008-title30-vol1-sec56-14112.pdf,"Holley Dirt Company, Inc"
350.00 ,000109664,C,7765211  ,Closed,  ,350.00 ,11/29/2006,11/30/2006,3/17/2007 ,350.00,N,104(a),56.12006,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-12006.pdf,"Holley Dirt Company, Inc"
60.00 ,000089619,C,6110211  ,Closed,  ,60.00 ,4/5/2006,4/5/2006,7/15/2006 ,60.00,N,104(a),56.12025,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-12025.pdf,"Holley Dirt Company, Inc"
60.00 ,000089619,C,6110216  ,Closed,  ,60.00 ,4/5/2006,4/5/2006,7/15/2006 ,60.00,N,104(a),47.41(a),http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec47-41.pdf,"Holley Dirt Company, Inc"
60.00 ,000089619,C,6110212  ,Closed,  ,60.00 ,4/5/2006,4/5/2006,7/15/2006 ,60.00,N,104(a),56.16006,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-16006.pdf,"Holley Dirt Company, Inc"
60.00 ,000089619,C,6110213  ,Closed,  ,60.00 ,4/5/2006,4/5/2006,7/15/2006 ,60.00,N,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-14100.pdf,"Holley Dirt Company, Inc"
60.00 ,000089619,C,6110217  ,Closed,  ,60.00 ,4/5/2006,4/5/2006,7/15/2006 ,60.00,N,104(a),56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-12004.pdf,"Holley Dirt Company, Inc"
614.00 ,000089619,C,6110214  ,Closed,  ,614.00 ,4/5/2006,4/5/2006,7/15/2006 ,614.00,Y,104(a),56.12013(b),http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-12013.pdf,"Holley Dirt Company, Inc"
60.00 ,000089619,C,6110215  ,Closed,  ,60.00 ,4/5/2006,4/5/2006,7/15/2006 ,60.00,N,104(a),56.4101,http://www.gpo.gov/fdsys/pkg/CFR-2006-title30-vol1/pdf/CFR-2006-title30-vol1-sec56-4101.pdf,"Holley Dirt Company, Inc"
60.00 ,000063118,C,6088757  ,Closed,  ,60.00 ,6/21/2005,7/11/2005,9/17/2005 ,60.00,N,104(a),50.30,http://www.gpo.gov/fdsys/pkg/CFR-2005-title30-vol1/pdf/CFR-2005-title30-vol1-sec50-30.pdf,"Holley Dirt Company, Inc"
60.00 ,000058196,C,6094158  ,Closed,  ,60.00 ,3/15/2005,3/17/2005,7/17/2005 ,60.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2005-title30-vol1/pdf/CFR-2005-title30-vol1-sec56-14132.pdf,"Holley Dirt Company, Inc"
60.00 ,000058196,C,6094156  ,Closed,  ,60.00 ,3/15/2005,3/15/2005,7/17/2005 ,60.00,N,104(a),56.4200(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2005-title30-vol1/pdf/CFR-2005-title30-vol1-sec56-4200.pdf,"Holley Dirt Company, Inc"
60.00 ,000058196,C,6094159  ,Closed,  ,60.00 ,3/15/2005,3/17/2005,7/17/2005 ,60.00,N,104(a),56.20003(a),http://www.gpo.gov/fdsys/pkg/CFR-2005-title30-vol1/pdf/CFR-2005-title30-vol1-sec56-20003.pdf,"Holley Dirt Company, Inc"
60.00 ,000058196,C,6094157  ,Closed,  ,60.00 ,3/15/2005,3/16/2005,7/17/2005 ,60.00,N,104(a),56.4102,http://www.gpo.gov/fdsys/pkg/CFR-2005-title30-vol1/pdf/CFR-2005-title30-vol1-sec56-4102.pdf,"Holley Dirt Company, Inc"
268.00 ,000041636,C,6093407  ,Closed,  ,268.00 ,8/17/2004,8/18/2004,12/12/2004 ,268.00,Y,104(a),56.12016,http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-12016.pdf,"Holley Dirt Company, Inc"
60.00 ,000041636,C,6093409  ,Closed,  ,60.00 ,8/17/2004,8/18/2004,12/12/2004 ,60.00,N,104(a),46.9(c)(2)(i),http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec46-9.pdf,"Holley Dirt Company, Inc"
60.00 ,000041636,C,6093408  ,Closed,  ,60.00 ,8/17/2004,8/18/2004,12/12/2004 ,60.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2004-title30-vol1/pdf/CFR-2004-title30-vol1-sec56-14132.pdf,"Holley Dirt Company, Inc"
60.00 ,080130605503,C,6092154  ,Closed,  ,60.00 ,5/6/2003,5/6/2003,7/25/2003 ,60.00,N,104(a),56.20003(a),http://www.gpo.gov/fdsys/pkg/CFR-2003-title30-vol1/pdf/CFR-2003-title30-vol1-sec56-20003.pdf,"Holley Dirt Company, Inc"
133.00 ,080130605503,C,6092151  ,Closed,  ,133.00 ,5/6/2003,5/6/2003,7/25/2003 ,133.00,Y,104(a),56.4402,http://www.gpo.gov/fdsys/pkg/CFR-2003-title30-vol1/pdf/CFR-2003-title30-vol1-sec56-4402.pdf,"Holley Dirt Company, Inc"
60.00 ,080130605503,C,6092152  ,Closed,  ,60.00 ,5/6/2003,5/6/2003,7/25/2003 ,60.00,N,104(a),56.9300(a),http://www.gpo.gov/fdsys/pkg/CFR-2003-title30-vol1/pdf/CFR-2003-title30-vol1-sec56-9300.pdf,"Holley Dirt Company, Inc"
106.00 ,080130605503,C,6092153  ,Closed,  ,106.00 ,5/6/2003,5/6/2003,7/25/2003 ,106.00,Y,104(a),56.14103(c)(1),http://www.gpo.gov/fdsys/pkg/CFR-2003-title30-vol1/pdf/CFR-2003-title30-vol1-sec56-14103.pdf,"Holley Dirt Company, Inc"
55.00 ,080130605502,C,7763979  ,Closed,  ,55.00 ,11/13/2002,11/13/2002,1/14/2003 ,55.00,N,104(a),56.16006,http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-16006.pdf,"Holley Dirt Company, Inc"
55.00 ,080130605502,C,7763975  ,Closed,  ,55.00 ,11/13/2002,11/13/2002,1/14/2003 ,55.00,N,104(a),56.20003(a),http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-20003.pdf,"Holley Dirt Company, Inc"
55.00 ,080130605502,C,7763978  ,Closed,  ,55.00 ,11/13/2002,11/13/2002,1/14/2003 ,55.00,N,104(a),56.4230(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-4230.pdf,"Holley Dirt Company, Inc"
104.00 ,080130605502,C,7763976  ,Closed,  ,104.00 ,11/13/2002,11/14/2002,1/14/2003 ,104.00,Y,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-14100.pdf,"Holley Dirt Company, Inc"
104.00 ,080130605502,C,7763977  ,Closed,  ,104.00 ,11/13/2002,11/13/2002,1/14/2003 ,104.00,Y,104(a),56.14132(b)(1)(i),http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec56-14132.pdf,"Holley Dirt Company, Inc"
55.00 ,080130605501,C,7764984  ,Closed,  ,55.00 ,6/11/2002,7/29/2002,10/18/2002 ,55.00,N,104(a),62.130(a),http://www.gpo.gov/fdsys/pkg/CFR-2002-title30-vol1/pdf/CFR-2002-title30-vol1-sec62-130.pdf,"Holley Dirt Company, Inc"
55.00 ,080130605501,C,7764904  ,Closed,  ,55.00 ,11/6/2001,1/9/2002,10/18/2002 ,55.00,N,104(a),56.12028,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-12028.pdf,"Holley Dirt Company, Inc"
113.00 ,080130605501,C,7764907  ,Closed,  ,113.00 ,11/6/2001,11/6/2001,10/18/2002 ,113.00,Y,104(a),56.14130(g),http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-14130.pdf,"Holley Dirt Company, Inc"
error,080130605501,O,7764906  ,error,  ,error,11/6/2001,3/20/2002,10/18/2002 ,error,N/A,107(a),url missing,url missing,"Holley Dirt Company, Inc"
55.00 ,080130605501,C,7764905  ,Closed,  ,55.00 ,11/6/2001,11/6/2001,10/18/2002 ,55.00,N,104(a),56.1000,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-1000.pdf,"Holley Dirt Company, Inc"
113.00 ,080130605501,C,7764908  ,Closed,  ,113.00 ,11/6/2001,1/9/2002,10/18/2002 ,113.00,Y,104(a),56.12013,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-12013.pdf,"Holley Dirt Company, Inc"
55.00 ,080130605501,C,7764901  ,Closed,  ,55.00 ,11/6/2001,1/9/2002,10/18/2002 ,55.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-14107.pdf,"Holley Dirt Company, Inc"
55.00 ,080130605501,C,7764903  ,Closed,  ,55.00 ,11/6/2001,1/9/2002,10/18/2002 ,55.00,N,104(a),56.18010,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-18010.pdf,"Holley Dirt Company, Inc"
55.00 ,080130605501,C,7764902  ,Closed,  ,55.00 ,11/6/2001,1/9/2002,10/18/2002 ,55.00,N,104(a),56.12004,http://www.gpo.gov/fdsys/pkg/CFR-2001-title30-vol1/pdf/CFR-2001-title30-vol1-sec56-12004.pdf,"Holley Dirt Company, Inc"
