amount_paid,case_no,citation,citation_no,citation_status,contract_id,current_penalty,date_issues,date_terminated,final_order_date,proposed_penalty,s_and_s,section_of_act,standard,standard_url,violator
100.00 ,000309181,C,8178810  ,Closed,  ,100.00 ,9/20/2012,9/28/2012,1/18/2013 ,100.00,N,104(a),77.1000,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1000.pdf,PB Dirt Movers
100.00 ,000305879,C,8178751  ,Closed,  ,100.00 ,9/10/2012,9/20/2012,12/13/2012 ,100.00,N,104(a),77.215(g),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-215.pdf,PB Dirt Movers
100.00 ,000305879,C,8178752  ,Closed,  ,100.00 ,9/10/2012,9/28/2012,12/13/2012 ,100.00,Y,104(a),77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1104.pdf,PB Dirt Movers
100.00 ,000305879,C,8178753  ,Closed,  ,100.00 ,9/10/2012,10/12/2012,12/13/2012 ,100.00,Y,104(a),77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1104.pdf,PB Dirt Movers
100.00 ,000302785,C,8178747  ,Closed,  ,100.00 ,9/5/2012,9/10/2012,11/15/2012 ,100.00,N,104(a),77.1109(e)(1),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1109.pdf,PB Dirt Movers
100.00 ,000302785,C,8178748  ,Closed,  ,100.00 ,9/5/2012,9/10/2012,11/15/2012 ,100.00,Y,104(a),77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1104.pdf,PB Dirt Movers
100.00 ,000302785,C,8178749  ,Closed,  ,100.00 ,9/5/2012,9/10/2012,11/15/2012 ,100.00,N,104(a),77.1109(c)(1),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1109.pdf,PB Dirt Movers
100.00 ,000305879,C,8178743  ,Closed,  ,100.00 ,9/5/2012,10/16/2012,12/13/2012 ,100.00,Y,104(a),77.1000,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1000.pdf,PB Dirt Movers
100.00 ,000302785,C,8178746  ,Closed,  ,100.00 ,9/5/2012,9/10/2012,11/15/2012 ,100.00,Y,104(a),77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1104.pdf,PB Dirt Movers
100.00 ,000302785,C,8178744  ,Closed,  ,100.00 ,9/5/2012,9/5/2012,11/15/2012 ,100.00,Y,104(a),77.1605(k),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1605.pdf,PB Dirt Movers
100.00 ,000302785,C,8178742  ,Closed,  ,100.00 ,9/5/2012,9/10/2012,11/15/2012 ,100.00,Y,104(a),77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1104.pdf,PB Dirt Movers
100.00 ,000302785,C,8178750  ,Closed,  ,100.00 ,9/5/2012,10/12/2012,11/15/2012 ,100.00,Y,104(a),77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1104.pdf,PB Dirt Movers
100.00 ,000297089,C,8197138  ,Closed,  ,100.00 ,6/18/2012,6/18/2012,9/14/2012 ,100.00,N,104(a),77.1110,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1110.pdf,PB Dirt Movers
100.00 ,000297089,C,8197139  ,Closed,  ,100.00 ,6/18/2012,6/26/2012,9/14/2012 ,100.00,Y,104(a),77.1104,http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec77-1104.pdf,PB Dirt Movers
