amount_paid,case_no,citation,citation_no,citation_status,contract_id,current_penalty,date_issues,date_terminated,final_order_date,proposed_penalty,s_and_s,section_of_act,standard,standard_url,violator
116.00 ,000453711,C,9365981  ,Closed,  ,116.00 ,10/18/2017,10/24/2017,2/23/2018 ,116.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14132.pdf,SIMPSON DIRTWORX LLC
116.00 ,000453711,C,9365980  ,Closed,  ,116.00 ,10/18/2017,10/24/2017,2/23/2018 ,116.00,N,104(a),56.14100(b),http://www.gpo.gov/fdsys/pkg/CFR-2017-title30-vol1/pdf/CFR-2017-title30-vol1-sec56-14100.pdf,SIMPSON DIRTWORX LLC
114.00 ,000427977,C,9311181  ,Closed,  ,114.00 ,11/30/2016,12/19/2016,3/10/2017 ,114.00,N,104(a),56.18010,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-18010.pdf,SIMPSON DIRTWORX LLC
