amount_paid,case_no,citation,citation_no,citation_status,contract_id,current_penalty,date_issues,date_terminated,final_order_date,proposed_penalty,s_and_s,section_of_act,standard,standard_url,violator
114.00 ,000427475,C,8968279  ,Closed,  ,114.00 ,11/16/2016,11/16/2016,3/6/2017 ,114.00,N,104(a),56.4101,http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-4101.pdf,"Spry's Dirt & Gravel, Inc."
100.00 ,000413800,C,8961032  ,Closed,  ,100.00 ,5/12/2016,5/23/2016,8/29/2016 ,100.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2016-title30-vol1/pdf/CFR-2016-title30-vol1-sec56-14132.pdf,"Spry's Dirt & Gravel, Inc."
error,000367831,N,8774278  ,error,  ,error,10/8/2014,C,104(a),error,62.120,10/22/2014,url missing,url missing,"Spry's Dirt & Gravel, Inc."
error,000367831,N,8774276  ,error,  ,error,10/8/2014,C,104(a),error,56.14132(b)(1),11/24/2014,url missing,url missing,"Spry's Dirt & Gravel, Inc."
error,000367831,Y,8774277  ,error,  ,error,10/8/2014,C,104(a),error,56.12040,10/9/2014,url missing,url missing,"Spry's Dirt & Gravel, Inc."
50.01 ,000359871,C,8766672  ,Delinquent,  ,100.00 ,7/2/2014,7/2/2014,10/5/2014 ,100.00,N,104(a),56.4201(a)(2),http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-4201.pdf,"Spry's Dirt & Gravel, Inc."
0.00 ,000325641,C,8681533  ,Delinquent,  ,100.00 ,5/8/2013,5/8/2013,8/9/2013 ,100.00,N,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-14107.pdf,"Spry's Dirt & Gravel, Inc."
0.00 ,000325641,C,8681535  ,Delinquent,  ,100.00 ,5/8/2013,5/8/2013,8/9/2013 ,100.00,N,104(a),50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec50-30.pdf,"Spry's Dirt & Gravel, Inc."
0.00 ,000325641,C,8681534  ,Delinquent,  ,100.00 ,5/8/2013,5/8/2013,8/9/2013 ,100.00,N,104(a),56.16006,http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-16006.pdf,"Spry's Dirt & Gravel, Inc."
0.00 ,000325641,C,8681532  ,Delinquent,  ,100.00 ,5/8/2013,5/8/2013,8/9/2013 ,100.00,N,104(a),56.20003(a),http://www.gpo.gov/fdsys/pkg/CFR-2013-title30-vol1/pdf/CFR-2013-title30-vol1-sec56-20003.pdf,"Spry's Dirt & Gravel, Inc."
100.00 ,000287903,C,8676608  ,Closed,  ,100.00 ,3/20/2012,3/20/2012,6/7/2012 ,100.00,N,104(a),56.9300(b),http://www.gpo.gov/fdsys/pkg/CFR-2012-title30-vol1/pdf/CFR-2012-title30-vol1-sec56-9300.pdf,"Spry's Dirt & Gravel, Inc."
100.00 ,000270764,C,8615968  ,Closed,  ,100.00 ,9/20/2011,9/20/2011,12/8/2011 ,100.00,N,104(a),56.14112(a)(1),http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-14112.pdf,"Spry's Dirt & Gravel, Inc."
100.00 ,000270764,C,8615969  ,Closed,  ,100.00 ,9/20/2011,9/21/2011,12/8/2011 ,100.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-14132.pdf,"Spry's Dirt & Gravel, Inc."
243.00 ,000270764,C,8615967  ,Closed,  ,243.00 ,9/20/2011,9/20/2011,12/8/2011 ,243.00,Y,104(a),56.12005,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-12005.pdf,"Spry's Dirt & Gravel, Inc."
100.00 ,000224303,C,6574225  ,Closed,  ,100.00 ,5/10/2010,5/10/2010,8/5/2010 ,100.00,N,104(a),50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec50-30.pdf,"Spry's Dirt & Gravel, Inc."
108.00 ,000220879,C,6574208  ,Closed,  ,108.00 ,3/30/2010,4/1/2010,7/9/2010 ,108.00,Y,104(a),56.14107(a),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-14107.pdf,"Spry's Dirt & Gravel, Inc."
100.00 ,000220879,C,6574206  ,Closed,  ,100.00 ,3/30/2010,4/1/2010,7/9/2010 ,100.00,Y,104(a),56.11001,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-11001.pdf,"Spry's Dirt & Gravel, Inc."
100.00 ,000220879,C,6574207  ,Closed,  ,100.00 ,3/30/2010,4/1/2010,7/9/2010 ,100.00,N,104(a),56.12030,http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec56-12030.pdf,"Spry's Dirt & Gravel, Inc."
100.00 ,000183651,C,6467864  ,Closed,  ,100.00 ,3/25/2009,3/26/2009,6/5/2009 ,100.00,N,104(a),56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-14132.pdf,"Spry's Dirt & Gravel, Inc."
100.00 ,000183651,C,6467865  ,Closed,  ,100.00 ,3/25/2009,3/26/2009,6/5/2009 ,100.00,Y,104(a),56.11001,http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-11001.pdf,"Spry's Dirt & Gravel, Inc."
