second,pitch,note,scale
0,186.1152598333333,F#3,7.0
1,260.62684939999997,C4,1.0
2,171.85164883333331,F3,6.0
3,0.0,0,0.0
4,199.2505218,G3,8.0
5,259.92647316666665,C4,1.0
6,103.80870359999999,G#2,9.0
7,31.43559516666667,B0,12.0
8,208.55017260000005,G#3,9.0
9,153.7871306,D#3,4.0
10,0.0,0,0.0
